664.92	EYP
110.75	NEM
550.49	ESB
287.26	MDH
451.76	NPR
350.53	BTD
587.11	WOA
201.35	XQK
059.38	JGN
828.18	QGE
131.24	ZTK
356.50	ZBW
731.03	ZDO
283.10	AKZ
655.61	FSK
629.83	FCA
664.71	CEV
392.25	YRP
534.84	NDR
708.55	YNF
526.37	RWD
829.36	XQS
544.43	YXW
586.55	DBQ
787.91	DBT
269.45	MHG
925.42	YGI
575.37	NTH
485.15	AIW
752.01	ESA
433.06	ELB
619.45	HOL
652.43	MLZ
988.06	SKL
540.77	NGW
917.30	TJW
074.18	TQY
630.71	AQN
785.46	IWK
843.36	HIF
717.80	SHF
311.34	TYV
256.35	FZD
510.33	ATE
920.72	SGN
296.21	SEZ
316.96	CJR
230.70	RHW
697.33	IMQ
722.26	MIX
841.12	MRX
704.82	DTU
206.25	DGJ
114.40	QGN
001.28	VPZ
593.86	BOI
019.07	XWQ
599.89	KYT
541.61	YVZ
010.80	TMB
058.51	LDK
471.33	ZOY
452.50	CDZ
676.28	IRN
334.77	VYX
548.60	BDW
685.36	HIO
788.09	QRI
385.32	THY
438.15	BGC
681.46	KMZ
142.31	GXS
110.15	VIH
779.06	VEL
741.65	FAV
286.47	LDB
234.38	HRK
343.68	STQ
956.78	TXR
353.13	ZNA
433.80	GPV
844.51	VXD
692.44	EXG
323.10	IAJ
128.19	EMR
335.95	SXI
126.87	MQH
365.13	LSB
207.49	JQR
359.45	SKD
321.44	EUX
478.74	QRC
520.61	LYW
268.80	ODR
561.65	YDV
193.12	JLC
745.16	PQJ
921.95	SBL
036.87	CLK
821.87	VNR
319.02	YWM
125.47	FMQ
407.87	GWD
162.55	OLV
924.43	JYL
575.04	TPK
820.32	JIT
553.89	RNE
194.09	WUJ
561.34	GNP
152.77	HJE
236.47	ETO
902.78	VOU
552.96	UGS
129.60	XKT
665.24	BTU
492.99	LTE
643.93	GWD
439.11	UXF
946.10	EAP
190.30	PRM
189.86	GFW
882.58	KBD
668.77	OAR
031.94	CFG
366.22	BXV
170.33	ZBM
868.68	ETH
901.37	CUR
996.73	CHJ
106.06	ASR
760.54	EJR
722.12	LDH
870.91	YJT
232.78	OHI
505.76	EAF
860.05	XNP
377.60	TXF
968.82	QUP
561.21	TZP
546.73	MGP
192.59	VSE
459.13	KDG
524.66	RHO
912.62	FKZ
172.23	KYM
254.44	ZRP
596.48	JIX
758.21	YAI
363.61	YCN
479.13	ZQF
391.44	UFK
014.35	KNP
575.33	AMZ
187.86	VCT
853.44	NLF
387.22	LYF
902.51	FNY
579.23	TOU
802.17	ZCS
293.31	XRW
802.27	ODJ
519.41	SLV
102.15	KYV
043.67	UCW
679.17	PGM
070.68	HZO
539.83	IOG
704.90	YEQ
716.31	JON
575.25	HMC
226.20	NWO
996.34	YLS
395.19	AXL
828.82	DUX
756.30	ZTO
726.02	YDJ
353.42	BYW
162.10	AJL
566.88	VUF
364.06	KLF
856.90	MFW
185.05	KZH
946.08	BNL
354.86	GQC
649.35	EGX
227.47	YSL
946.15	GOS
708.91	GST
511.94	DRE
876.07	RPB
418.55	CAI
692.75	CMZ
903.96	BPH
852.39	OVD
353.35	XAQ
380.89	SBY
306.29	JOR
291.77	FUP
